中央卫视,#genre#

CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8
CCTV-1 综合,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
CCTV-1 综合,http://202309211718.iptv.z-link.cn:8800/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1 综合,http://123.60.111.12/migu.php?id=cctv1
CCTV-1 综合,http://123.60.111.12/migu.php?id=cctv1b
CCTV-1 综合,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv1
CCTV-1 综合,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv1b
CCTV-1 综合,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
CCTV-1 综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8

CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/index.m3u8
CCTV-2 财经,http://202309211718.iptv.z-link.cn:8800/tsfile/live/0016_1.m3u8?key=txiptv
CCTV-2 财经,http://123.60.111.12/migu.php?id=cctv2
CCTV-2 财经,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv2
CCTV-2 财经,http://39.153.247.27:808/hls/2/index.m3u8
CCTV-2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8

CCTV-3 综艺,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV-3 综艺,http://202309211718.iptv.z-link.cn:8800/tsfile/live/0017_1.m3u8?key=txiptv
CCTV-3 综艺,http://123.60.111.12/migu.php?id=cctv3
CCTV-3 综艺,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv3
CCTV-3 综艺,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8

CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/index.m3u8
CCTV-4 中文国际,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1013_1.m3u8?key=txiptv
CCTV-4 中文国际,http://123.60.111.12/migu.php?id=cctv4
CCTV-4 中文国际,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv4
CCTV-4 中文国际,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4 中文国际,http://39.153.247.27:808/hls/4/index.m3u8
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4 中文国际 欧洲,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv4欧洲
CCTV-4 中文国际 欧洲,http://123.60.111.12/migu.php?id=cctv4欧洲
CCTV-4 中文国际 美洲,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv4美洲
CCTV-4 中文国际 美洲,http://123.60.111.12/migu.php?id=cctv4美洲

CCTV-5 体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5 体育,http://202309211718.iptv.z-link.cn:8800/tsfile/live/0018_1.m3u8?key=txiptv
CCTV-5 体育,http://123.60.111.12/migu.php?id=cctv5
CCTV-5 体育,http://123.60.111.12/migu.php?id=cctv5b
CCTV-5 体育,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv5
CCTV-5 体育,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv5b
CCTV-5 体育,http://39.153.247.27:808/hls/5/index.m3u8
CCTV-5 体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5 体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8

CCTV-5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
CCTV-5+ 体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-5+ 体育赛事,http://202309211718.iptv.z-link.cn:8800/tsfile/live/0019_1.m3u8?key=txiptv
CCTV-5+ 体育赛事,http://123.60.111.12/migu.php?id=cctv5p
CCTV-5+ 体育赛事,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv5p
CCTV-5+ 体育赛事,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv5p2
CCTV-5+ 体育赛事,http://221.213.43.82:8888/newlive/live/hls/7/live.m3u8
CCTV-5+ 体育赛事,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+ 体育赛事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8

CCTV-6 电影,http://123.60.111.12/migu.php?id=cctv6
CCTV-6 电影,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-6 电影,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv6
CCTV-6 电影,http://39.153.247.27:808/hls/6/index.m3u8
CCTV-6 电影,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8

CCTV-7 国防军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-7 国防军事,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-7 国防军事,http://123.60.111.12/migu.php?id=cctv7
CCTV-7 国防军事,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv7
CCTV-7 国防军事,http://39.153.247.27:808/hls/7/index.m3u8
CCTV-7 国防军事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-7 国防军事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8

CCTV-8 电视剧,http://123.60.111.12/migu.php?id=cctv8
CCTV-8 电视剧,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-8 电视剧,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv8
CCTV-8 电视剧,http://39.153.247.27:808/hls/8/index.m3u8
CCTV-8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8

CCTV-9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/index.m3u8
CCTV-9 纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-9 纪录,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1003_1.m3u8?key=txiptv
CCTV-9 纪录,http://123.60.111.12/migu.php?id=cctv9
CCTV-9 纪录,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv9
CCTV-9 纪录,http://39.153.247.27:808/hls/9/index.m3u8
CCTV-9 纪录,http://221.213.43.82:8888/newlive/live/hls/11/live.m3u8
CCTV-9 纪录,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8

CCTV-10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/index.m3u8
CCTV-10 科教,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1004_1.m3u8?key=txiptv
CCTV-10 科教,http://123.60.111.12/migu.php?id=cctv10
CCTV-10 科教,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv10
CCTV-10 科教,http://221.213.43.82:8888/newlive/live/hls/12/live.m3u8
CCTV-10 科教,http://111.59.63.32:9901/tsfile/live/1017_1.m3u8
CCTV-10 科教,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-10 科教,http://39.153.247.27:808/hls/10/index.m3u8
CCTV-10 科教,http://222.71.90.218:8888/newlive/live/hls/11/live.m3u8
CCTV-10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8

CCTV-11 戏曲,http://123.60.111.12/migu.php?id=cctv11
CCTV-11 戏曲,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv11
CCTV-11 戏曲,http://39.153.247.27:808/hls/11/index.m3u8
CCTV-11 戏曲,http://221.213.43.82:8888/newlive/live/hls/13/live.m3u8
CCTV-11 戏曲,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1022_1.m3u8?key=txiptv

CCTV-12 社会与法,http://123.60.111.12/migu.php?id=cctv12
CCTV-12 社会与法,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-12 社会与法,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv12
CCTV-12 社会与法,http://39.153.247.27:808/hls/12/index.m3u8

CCTV-13 新闻,http://123.60.111.12/migu.php?id=cctv13
CCTV-13 新闻,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1030_1.m3u8?key=txiptv
CCTV-13 新闻,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv13
CCTV-13 新闻,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV-13 新闻,http://39.153.247.27:808/hls/13/index.m3u8
CCTV-13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8
CCTV-13 新闻,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13 新闻,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV-13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13 新闻,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8

CCTV-14 少儿,http://123.60.111.12/migu.php?id=cctv14
CCTV-14 少儿,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1006_1.m3u8?key=txiptv
CCTV-14 少儿,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv14
CCTV-14 少儿,http://39.153.247.27:808/hls/14/index.m3u8
CCTV-14 少儿,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-14 少儿,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8

CCTV-15 音乐,http://123.60.111.12/migu.php?id=cctv15
CCTV-15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
CCTV-15 音乐,http://103.45.68.47:666/gy/gy_R*cufe/爱看mg.php?id=cctv15
CCTV-15 音乐,http://39.153.247.27:808/hls/15/index.m3u8
CCTV-15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15 音乐,http://202309211718.iptv.z-link.cn:8800/tsfile/live/1023_1.m3u8?key=txiptv

CCTV-16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/index.m3u8
CCTV-16 奥林匹克,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16 奥林匹克,http://123.60.111.12/migu.php?id=cctv16
